Order,Family,Species,Common name,ED,GE,EDGE,Rank,Red List ID,Distirbution,
ANURA,LEIOPELMATIDAE,Leiopelma archeyi,Archey's frog,62.80319614,4,6.928392008,1,11450,New Zealand, 
CAUDATA,CRYPTOBRANCHIDAE,Andrias davidianus,Chinese giant salamander,61.18251793,4,6.90266262,2,1272,China, 
ANURA,NASIKABATRACHIDAE,Nasikabatrachus sahyadrensis,Purple frog,107.281039,3,6.764171602,3,58051,India, 
ANURA,SOOGLOSSIDAE,Sechellophryne pipilodryas,Seychelles palm frog,51.84541603,4,6.739959695,4,59048,Seychelles, 
ANURA,SOOGLOSSIDAE,Sooglossus thomasseti,Thomasset's frog,50.86188903,4,6.721172927,5,14663,Seychelles, 
ANURA,MYOBATRACHIDAE,Taudactylus acutirostris,Sharp-snouted day frog,41.41061596,4,6.51998743,6,21529,Australia, 
ANURA,MYOBATRACHIDAE,Taudactylus eungellensis,Eungella day frog,41.41061596,4,6.51998743,7,21531,Australia, 
ANURA,MYOBATRACHIDAE,Taudactylus pleione,Kroombit tinker Frog,41.41061596,4,6.51998743,8,21533,Australia, 
ANURA,MYOBATRACHIDAE,Taudactylus rheophilus,Northern tinker frog,41.41061596,4,6.51998743,9,21534,Australia, 
ANURA,CYCLORAMPHIDAE,Insuetophrynus acarpicus,Barrio's frog,40.42351333,4,6.496437397,10,10832,Chile, 
ANURA,HELEOPHRYNIDAE,Heleophryne rosei,Table Mountain ghost frog,39.15446715,4,6.465322418,11,9773,South Africa, 
ANURA,ALYTIDAE,Latonia nigriventer,Hula Painted Frog,37.93593046,4,6.434506209,12,6715,Israel, 
ANURA,ARTHROLEPTIDAE,Leptodactylodon axillaris,Mountain egg frog,37.77116085,4,6.430265416,13,54427,Cameroon, 
ANURA,ARTHROLEPTIDAE,Leptodactylodon erythrogaster,Redbelly egg frog,37.77116085,4,6.430265416,14,54432,Cameroon, 
ANURA,ARTHROLEPTIDAE,Leptodactylodon wildi,,37.77116085,4,6.430265416,15,54440,Cameroon, 
ANURA,CYCLORAMPHIDAE,Rhinoderma rufum,Chile Darwin's frog,36.381162,4,6.39375561,16,19514,Chile, 
ANURA,BREVICIPITIDAE,Balebreviceps hillmani,Bale Mountains tree frog,36.17859046,4,6.388321793,17,57703,Ethiopia, 
ANURA,CONRAUIDAE,Conraua derooi,Togo slippery frog,35.44422997,4,6.368371868,18,58253,"Ghana,Togo", 
ANURA,RANIDAE,Glandirana minima,Fujian frog,32.00072149,4,6.269118147,19,58666,China, 
