Order,Family,Species,ED,GE,EDGE,EDGE Rank,Red List ID,Distribution,
SCLERACTINIA,SIDERASTREIDAE,Siderastrea glynni,26.5732554,4,6.089435018,1,133121,"Uraba Island, Panama", 
SCLERACTINIA,PORITIDAE,Poritipora paliformis,75.75624421,2,5.726929102,2,133540,Indian Ocean (S. Mozambique/Madagascar to Chagos/Sri Lanka), 
SCLERACTINIA,FAVIIDAE,Moseleya latistellata,37.146699,2,5.027733588,3,132870,Southeast Asia and Northern Australasia, 
SCLERACTINIA,PORITIDAE,Porites pukoensis,5.622867783,4,4.663117198,4,133574,"Hawaii, United States", 
SCLERACTINIA,PORITIDAE,Alveopora excelsa,10.92574193,3,4.558140793,5,133464,Indo-pacific, 
SCLERACTINIA,FAVIIDAE,Cladocora caespitosa,9.971121982,3,4.474708088,6,133142,Mediterranean, 
SCLERACTINIA,PORITIDAE,Alveopora minuta,9.312800001,3,4.412827384,7,133467,Indo-pacific, 
SCLERACTINIA,ASTROCOENIIDAE,Stylocoeniella cocosensis,19.51503084,2,4.40745219,8,133145,Southeast Asia and Northern Oceania, 
SCLERACTINIA,FAVIIDAE,Montastraea annularis,8.67316998,3,4.348797613,9,133134,"Caribbean Sea, Gulf of Mexico and Western Atlantic Ocean", 
SCLERACTINIA,FAVIIDAE,Montastraea faveolata,8.67316998,3,4.348797613,9,133373,"Caribbean Sea, Gulf of Mexico and Western Atlantic Ocean", 
SCLERACTINIA,POCILLOPORIDAE,Stylophora madagascarensis,8.384100581,3,4.318458371,11,132943,Madagascar, 
SCLERACTINIA,FAVIIDAE,Montastrea salebrosa,17.54895614,2,4.306707876,12,133162,East Indian Ocean to West Pacific Ocean, 
SCLERACTINIA,FAVIIDAE,Parasimplastrea sheppardi,8.070026231,3,4.284416698,13,133692,Arabian and Iranian Gulfs and Indian Ocean, 
SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria mesenterina,16.5761365,2,4.252836462,14,133633,Indian and Pacific Oceans (Egypt to French Plynesia), 
SCLERACTINIA,MUSSIDAE,Lobophyllia serratus,7.744112376,3,4.247822144,15,133226,Indian and Pacific Oceans (Southeast Asia), 
SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria peltata,16.42166023,2,4.244008634,16,133498,African coastline of Indian ocean to Samoa in mid-pacific, 
SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria heronensis,16.31654021,2,4.237956487,17,133235,East Indian Ocean to West Pacific Ocean, 
SCLERACTINIA,EUPHYLLIDAE,Catalaphyllia jardinei,16.16590613,2,4.229219576,18,132890,East Coast of Africa to Coastlines of Noerthen Australia, 
