Order,Family,Species,Common name,ED,GE,EDGE,EDGE rank,Red List ID,Distribution,
TESTUDINES,PODOCNEMIDIDAE,Erymnochelys madagascariensis,Madagascar Sideneck Turtle,96.7814642,4,7.355323754,1,8070,Madagascar, 
TESTUDINES,DERMATEMYDIDAE,Dermatemys mawii,Central American River Turtle,78.69960055,4,7.150853296,2,6493,"Belize,Guatemala,Mexico", 
SQUAMATA,TYPHLOPIDAE,Xenotyphlops grandidieri,Madagascan blindsnake,67.65863825,4,7.001735677,3,172958,Madagascar, 
CROCODYLIA,ALLIGATORIDAE,Alligator sinensis,Chinese Alligator,59.07639755,4,6.868205767,4,867,China, 
SQUAMATA,SHINISAURIDAE,Shinisaurus crocodilurus,Chinese Crocodile Lizard,103.4246732,3,6.727907523,5,57287221,"China,Viet Nam", 
TESTUDINES,CHELIDAE,Chelodina mccordi,Roti Island Snake-necked Turtle,45.3043467,4,6.60782456,6,4606,Indonesia, 
TESTUDINES,CHELIDAE,Mesoclemmys dahli,Dahl's Toad-headed Turtle,45.20689918,4,6.605717842,7,17080,Colombia, 
TESTUDINES,CHELIDAE,Mesoclemmys hogei,Hoge’s Toadhead Turtle,45.20689918,4,6.605717842,7,17081,Brazil, 
TESTUDINES,CHELIDAE,Pseudemydura umbrina,Western Short-necked Turtle,45.20689918,4,6.605717842,7,18457,Australia, 
TESTUDINES,KINOSTERNIDAE,Sternotherus depressus,Flattened Musk Turtle,44.53100034,4,6.590982142,10,20824,United States, 
TESTUDINES,TESTUDINIDAE,Astrochelys radiata,Radiated Tortoise,42.86402613,4,6.553683256,11,9014,Madagascar, 
TESTUDINES,TESTUDINIDAE,Astrochelys yniphora,Ploughshare Tortoise,42.86402613,4,6.553683256,11,9016,Madagascar, 
TESTUDINES,TESTUDINIDAE,Pyxis arachnoides,Spider Tortoise,42.86402613,4,6.553683256,11,19035,Madagascar, 
TESTUDINES,TESTUDINIDAE,Pyxis planicauda,Flat-tailed Tortoise,42.86402613,4,6.553683256,11,19036,Madagascar, 
TESTUDINES,CHELONIIDAE,Eretmochelys imbricata,Hawksbill Turtle,41.44368293,4,6.520766812,15,8005,"United Arab Emirates,Antigua and Barbuda,American Samoa,Australia,Barbados,Bahrain,Bonaire, Sint Eustatius and Saba,Brazil,Bahamas,Belize,China,Colombia,Costa Rica,Cuba,Curaçao,Dominican Republic,Ecuador,Egypt,Eritrea,Fiji,Micronesia, Federated States of ,Grenada,Guadeloupe,Equatorial Guinea,Guam,Honduras,Indonesia,India,British Indian Ocean Territory,Iran, Islamic Republic of,Jamaica,Japan,Kenya,Cambodia,Comoros,Saint Kitts and Nevis,Kuwait,Sri Lanka,Saint Martin (French part),Madagascar,Myanmar,Martinique,Mauritius,Maldives,Mexico,Malaysia,Mozambique,Nicaragua,Oman,Panama,Papua New Guinea,Philippines,Puerto Rico,Palau,Qatar,Saudi Arabia,Solomon Islands,Seychelles,Sudan,Somalia,Sao Tomé and Principe,El Salvador,Sint Maarten (Dutch part),French Southern Territories,Thailand,Trinidad and Tobago,Taiwan, Province of China,Tanzania, United Republic of,United States,Venezuela, Bolivarian Republic of,Virgin Islands, British,Viet Nam,Vanuatu,Samoa,Yemen,Mayotte", 
CROCODYLIA,GAVIALIDAE,Gavialis gangeticus,Gharial,41.05656485,4,6.511604217,16,8966,"Bangladesh,Bhutan,India,Myanmar,Nepal,Pakistan", 
TESTUDINES,PODOCNEMIDIDAE,Podocnemis lewyana,Magdalena River Turtle,39.45163086,4,6.472695683,17,17823,Colombia, 
TESTUDINES,PLATYSTERNIDAE,Platysternon megacephalum,Big-headed Turtle,74.57756946,3,6.404601081,18,17585,"China,Lao People's Democratic Republic,Myanmar,Thailand,Viet Nam", 
TESTUDINES,CARETTOCHELYIDAE,Carettochelys insculpta,Pig-nosed Turtle,149.6968609,2,6.401564636,19,3898,"Australia,Indonesia,Papua New Guinea", 
TESTUDINES,TRIONYCHIDAE,Chitra chitra,Southeast Asian Narrow-headed Softshell Turtle,36.27804586,4,6.390993293,20,4695,Thailand, 
TESTUDINES,TRIONYCHIDAE,Rafetus swinhoei,Yangtze Giant Softshell Turtle,36.27804586,4,6.390993293,20,39621,China, 
SQUAMATA,BOLYERIDAE,Casarea dussumieri,Round Island Ground Boa,70.69,3,6.35179281,22,3989,Mauritius, 
SQUAMATA,SPHAERODACTYLIDAE,Gonatodes daudini,Union Island Gecko,30.48127685,4,6.221981706,23,194258,Saint Vincent and the Grenadines, 
SQUAMATA,SCINCIDAE,Gongylomorphus bojerii,Bojer's Skink,24.28648509,4,6.002858789,24,62251,Mauritius, 
TESTUDINES,CHELONIIDAE,Chelonia mydas,Green Turtle,48.72868293,3,5.98602343,25,4615,"United Arab Emirates,Antigua and Barbuda,Anguilla,Angola,American Samoa,Australia,Barbados,Bangladesh,Bahrain,Bermuda,Bonaire, Sint Eustatius and Saba,Brazil,Belize,Cocos (Keeling) Islands,Cook Islands,China,Colombia,Costa Rica,Cuba,Curaçao,Christmas Island,Cyprus,Dominica,Dominican Republic,Ecuador,Egypt,Eritrea,Fiji,Micronesia, Federated States of ,Grenada,French Guiana,Guinea,Equatorial Guinea,Guam,Guinea-Bissau,Guyana,Haiti,Indonesia,Israel,India,British Indian Ocean Territory,Iran, Islamic Republic of,Jamaica,Japan,Kenya,Kiribati,Comoros,Saint Kitts and Nevis,Kuwait,Cayman Islands,Saint Lucia,Sri Lanka,Saint Martin (French part),Madagascar,Marshall Islands,Myanmar,Northern Mariana Islands,Martinique,Mauritania,Mauritius,Maldives,Mexico,Malaysia,Mozambique,New Caledonia,Nicaragua,Niue,New Zealand,Oman,Panama,Peru,French Polynesia,Papua New Guinea,Philippines,Pakistan,Puerto Rico,Palau,Saudi Arabia,Solomon Islands,Seychelles,Saint Helena, Ascension and Tristan da Cunha,Sierra Leone,Senegal,Somalia,Suriname,Sao Tomé and Principe,Sint Maarten (Dutch part),Turks and Caicos Islands,French Southern Territories,Thailand,Tokelau,Timor-Leste,Tonga,Turkey,Trinidad and Tobago,Tuvalu,Tanzania, United Republic of,United States Minor Outlying Islands,United States,Saint Vincent and the Grenadines,Venezuela, Bolivarian Republic of,Virgin Islands, British,Virgin Islands, U.S.,Viet Nam,Vanuatu,Yemen,Mayotte", 
SQUAMATA,GEKKONIDAE,Oedodera marmorata,Marbled Gecko,23.58323544,4,5.974653447,26,176174,New Caledonia, 
TESTUDINES,PODOCNEMIDIDAE,Peltocephalus dumerilianus,Big-headed Amazon River Turtle,96.7814642,2,5.969029393,27,16511,"Brazil,Colombia,French Guiana,Venezuela, Bolivarian Republic of", 
TESTUDINES,CHELIDAE,Chelodina pritchardi,Pritchard's Snake-necked Turtle,45.3043467,3,5.91467738,28,4609,Papua New Guinea, 
TESTUDINES,CHELIDAE,Acanthochelys pallidipectoris,Chaco Side-necked Turtle,45.20689918,3,5.912570661,29,75,"Argentina,Bolivia, Plurinational States of,Paraguay", 
TESTUDINES,CHELIDAE,Elusor macrurus,Mary River Turtle,45.20689918,3,5.912570661,29,7664,Australia, 
TESTUDINES,CHELIDAE,Myuchelys bellii,NA,45.20689918,3,5.912570661,29,40758,Australia, 
SQUAMATA,XENOSAURIDAE,Xenosaurus newmanorum,NA,42.12214717,3,5.843478262,32,64370,Mexico, 
SQUAMATA,GEKKONIDAE,Lygodactylus williamsi,Williams' Dwarf Gecko,20.47067984,4,5.839276998,33,14665363,"Tanzania, United Republic of", 
SQUAMATA,GEKKONIDAE,Paroedura lohatsara,NA,20.37258411,4,5.834697707,34,172898,Madagascar, 
SQUAMATA,CHAMAELEONIDAE,Rhampholeon hattinghi,NA,20.28281964,4,5.83048888,35,75976755,"Congo, The Democratic Republic of the", 
SQUAMATA,GEKKONIDAE,Lygodactylus mirabilis,NA,20.14472122,4,5.823979009,36,172794,Madagascar, 
SQUAMATA,CHAMAELEONIDAE,Brookesia desperata,NA,19.44407576,4,5.790281869,37,42686901,Madagascar, 
SQUAMATA,XENODERMATIDAE,Achalinus jinggangensis,Zong's Odd-scaled Snake,19.40571553,4,5.788403757,38,176325,China, 
SQUAMATA,SPHAERODACTYLIDAE,Lepidoblepharis miyatai,NA,19.22515029,4,5.779515616,39,44579408,Colombia, 
SQUAMATA,CARPHODACTYLIDAE,Phyllurus gulbaru,NA,18.95255835,4,5.765946095,40,178371,Australia, 
CROCODYLIA,CROCODYLIDAE,Mecistops cataphractus,Slender-snouted Crocodile,18.9064621,4,5.76363313,41,5660,"Burkina Faso,Benin,Congo, The Democratic Republic of the,Central African Republic,Congo,Côte d'Ivoire,Cameroon,Gabon,Ghana,Gambia,Equatorial Guinea,Guinea-Bissau,Liberia,Mali,Sierra Leone,Senegal,Chad,Tanzania, United Republic of,Zambia", 
SQUAMATA,CHAMAELEONIDAE,Rhampholeon acuminatus,Nguru Pygmy Chameleon,18.73603376,4,5.755034812,42,172524,"Tanzania, United Republic of", 
SQUAMATA,GEKKONIDAE,Lepidodactylus euaensis,'Eua Forest Gecko,18.7014222,4,5.753279548,43,196575,Tonga, 
SQUAMATA,GEKKONIDAE,Uroplatus guentheri,NA,38.3794196,3,5.752684876,44,172927,Madagascar, 
SQUAMATA,GEKKONIDAE,Uroplatus malahelo,NA,38.13504842,3,5.746459986,45,172747,Madagascar, 
SQUAMATA,GEKKONIDAE,Phelsuma pronki,NA,18.52965125,4,5.74452261,46,178246,Madagascar, 
TESTUDINES,GEOEMYDIDAE,Geoemyda japonica,Ryukyu Leaf Turtle,37.65689504,3,5.734166698,47,9042,Japan, 
TESTUDINES,GEOEMYDIDAE,Geoemyda spengleri,Black-breasted Hill Turtle,37.65689504,3,5.734166698,47,39552,"China,Viet Nam", 
SQUAMATA,CHAMAELEONIDAE,Rhampholeon chapmanorum,Chapman's Pygmy Chameleon,18.14211466,4,5.724479586,49,172568,Malawi, 
SQUAMATA,CHAMAELEONIDAE,Rhampholeon bruessoworum,Mount Inago Pygmy Chameleon,17.91051817,4,5.712307006,50,61366030,Mozambique, 
SQUAMATA,TROPIDURIDAE,Leiocephalus endomychus,Central Haitian Curlytail,17.67243146,4,5.699636905,51,75306501,Haiti, 
SQUAMATA,CHAMAELEONIDAE,Rhampholeon tilburyi,Mount Namuli Pygmy Chameleon,17.66069979,4,5.699008419,52,61365811,Mozambique, 
TESTUDINES,TRIONYCHIDAE,Chitra indica,Narrow-headed Softshell Turtle,36.27804586,3,5.697846112,53,4696,"Bangladesh,India,Myanmar,Pakistan", 
TESTUDINES,TRIONYCHIDAE,Nilssonia formosa,Burmese Peacock Softshell,36.27804586,3,5.697846112,53,14765,Myanmar, 
TESTUDINES,TRIONYCHIDAE,Pelochelys cantorii,Cantor's Giant Softshell,36.27804586,3,5.697846112,53,16502,"Bangladesh,China,Indonesia,India,Cambodia,Lao People's Democratic Republic,Myanmar,Malaysia,Papua New Guinea,Philippines,Thailand,Viet Nam", 
TESTUDINES,TRIONYCHIDAE,Rafetus euphraticus,Euphrates Softshell Turtle,36.27804586,3,5.697846112,53,19070,"Iraq,Iran, Islamic Republic of,Syrian Arab Republic,Turkey", 
TESTUDINES,TRIONYCHIDAE,Palea steindachneri,Wattle-necked Softshell Turtle,36.22070022,3,5.696306606,57,15918,"China,Mauritius,United States,Viet Nam", 
SQUAMATA,SCINCIDAE,Paracontias rothschildi,Rothschild's Skink,17.51000601,4,5.690900173,58,178423,Madagascar, 
SQUAMATA,SPHAERODACTYLIDAE,Sphaerodactylus samanensis,NA,17.28073687,4,5.678436597,59,75605882,Dominican Republic, 
SQUAMATA,SPHAERODACTYLIDAE,Sphaerodactylus cochranae,NA,17.26968912,4,5.677832077,60,75605372,Dominican Republic, 
